,Latitude,Longitude,Temp_March,Pres_March,Humi_March,Wind_March,Prec_March,Clou_March,Temp_Oct,Pres_Oct,Humi_Oct,Wind_Oct,Prec_Oct,Clou_Oct,Temp_Yearly_Av,Pres_Yearly_Av,Humi_Yearly_Av,Wind_Yearly_Av,Prec_Yearly_Av,Clou_Yearly_Av
0,78.9333333,11.95,21.794000000000075,1005.31,77.51,10.006561999999999,0.0,49.72,33.76400000000003,1009.4,87.6,8.9238848,0.00117,64.98,27.779000000000053,1007.355,82.555,9.4652234,0.000585,57.35
1,78.2166667,15.633333300000002,21.794000000000075,1005.31,77.51,10.006561999999999,0.0,49.72,33.76400000000003,1009.4,87.6,8.9238848,0.00117,64.98,27.779000000000053,1007.355,82.555,9.4652234,0.000585,57.35
2,77.7952778,-70.75583329999999,21.794000000000075,1005.31,77.51,10.006561999999999,0.0,49.72,33.76400000000003,1009.4,87.6,8.9238848,0.00117,64.98,27.779000000000053,1007.355,82.555,9.4652234,0.000585,57.35
3,77.50972220000001,-66.6477778,21.794000000000075,1005.31,77.51,10.006561999999999,0.0,49.72,33.76400000000003,1009.4,87.6,8.9238848,0.00117,64.98,27.779000000000053,1007.355,82.555,9.4652234,0.000585,57.35
4,73.50694399999999,80.546389,1.2560000000000286,1006.12,85.57,16.240158,0.0,64.29,19.670000000000062,1007.05,88.74,15.124672400000001,0.00078,68.38,10.463000000000045,1006.585,87.155,15.682415200000001,0.00039,66.33500000000001
5,71.966667,102.5,1.2560000000000286,1006.12,85.57,16.240158,0.0,64.29,19.670000000000062,1007.05,88.74,15.124672400000001,0.00078,68.38,10.463000000000045,1006.585,87.155,15.682415200000001,0.00039,66.33500000000001
6,71.2905556,-156.7886111,25.64600000000005,1009.71,70.27,7.9396328,0.00078,45.41,37.52600000000009,1005.12,81.68,8.1036748,0.00897,54.83,31.58600000000007,1007.415,75.975,8.0216538,0.004875,50.12
7,71.033333,27.85,21.794000000000075,1005.31,77.51,10.006561999999999,0.0,49.72,33.76400000000003,1009.4,87.6,8.9238848,0.00117,64.98,27.779000000000053,1007.355,82.555,9.4652234,0.000585,57.35
8,71.000556,24.696111,21.794000000000075,1005.31,77.51,10.006561999999999,0.0,49.72,33.76400000000003,1009.4,87.6,8.9238848,0.00117,64.98,27.779000000000053,1007.355,82.555,9.4652234,0.000585,57.35
9,70.45,-68.56666700000001,20.318000000000087,1012.63,74.74,14.1732288,0.00078,67.36,43.7,1011.47,80.08,11.2204728,0.00312,66.66,32.00900000000004,1012.05,77.41,12.6968508,0.00195,67.00999999999999
10,69.45,-133.066667,25.64600000000005,1009.71,70.27,7.9396328,0.00078,45.41,37.52600000000009,1005.12,81.68,8.1036748,0.00897,54.83,31.58600000000007,1007.415,75.975,8.0216538,0.004875,50.12
11,67.85,20.216667,25.93399999999999,1009.34,81.16,13.188976799999999,0.00117,35.56,38.858000000000004,1010.5,88.89,11.4501316,0.0035099999999999997,52.59,32.396,1009.9200000000001,85.025,12.319554199999999,0.00234,44.075
12,66.666667,27.416667,25.93399999999999,1009.34,81.16,13.188976799999999,0.00117,35.56,38.858000000000004,1010.5,88.89,11.4501316,0.0035099999999999997,52.59,32.396,1009.9200000000001,85.025,12.319554199999999,0.00234,44.075
13,66.5,25.716667,25.93399999999999,1009.34,81.16,13.188976799999999,0.00117,35.56,38.858000000000004,1010.5,88.89,11.4501316,0.0035099999999999997,52.59,32.396,1009.9200000000001,85.025,12.319554199999999,0.00234,44.075
